Distance Metric,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM)
$L^{EUL}_2$,$KMeans$,0.005,0.555,0.137,0.229,0.209,0.253,0.382,0.027,0.12,0.092,0.172,490,0.171,0.349
$L^{EUL}_1$,$HDBSCAN$,0.005,0.542,0.146,0.234,0.209,0.265,0.375,0.028,0.123,0.094,0.179,458,0.164,0.357
$L^{EUL}_1$,$KMeans^{10}$,0.005,0.476,0.149,0.253,0.221,0.296,0.322,0.036,0.136,0.1,0.211,392,0.158,0.389
$Cosine^{EUL}$,$One$,0.05,0.66,0.109,0.186,0.189,0.182,0.417,0.037,0.087,0.075,0.103,356,0.159,0.273
$Cosine^{EUL}$,$One$,0.01,0.62,0.129,0.206,0.201,0.212,0.41,0.03,0.101,0.082,0.13,521,0.174,0.307
$Cosine^{EUL}$,$One$,0.005,0.604,0.131,0.216,0.203,0.231,0.408,0.026,0.109,0.086,0.148,574,0.176,0.325
$L^{EUL}_2$,$KMeans^{10}$,0.005,0.488,0.154,0.259,0.228,0.3,0.319,0.036,0.133,0.099,0.204,413,0.166,0.392
$L^{EUL}_2$,$KMeans^{10}$,0.001,0.417,0.207,0.271,0.209,0.384,0.269,0.036,0.132,0.087,0.274,458,0.148,0.403
$L^{EUL}_1$,$One$,0.15,0.652,0.11,0.178,0.184,0.173,0.423,0.03,0.085,0.075,0.098,250,0.139,0.263
$L^{EUL}_1$,$One$,0.1,0.654,0.108,0.181,0.186,0.176,0.421,0.027,0.088,0.077,0.103,277,0.15,0.269
$L^{EUL}_1$,$One$,0.05,0.641,0.109,0.187,0.19,0.184,0.414,0.024,0.093,0.08,0.111,341,0.159,0.28
$L^{EUL}_1$,$One$,0.005,0.588,0.134,0.225,0.208,0.244,0.402,0.025,0.117,0.091,0.164,527,0.172,0.342
$L^{EUL}_1$,$One$,0.001,0.538,0.162,0.249,0.204,0.32,0.354,0.035,0.126,0.087,0.226,624,0.148,0.375
$Cosine^{EUL}$,$KMeans$,0.005,0.557,0.139,0.23,0.21,0.254,0.378,0.027,0.12,0.092,0.173,490,0.171,0.35
$L^{EUL}_2$,$One$,0.05,0.66,0.109,0.186,0.19,0.183,0.417,0.037,0.087,0.075,0.103,356,0.159,0.273
$L^{EUL}_2$,$One$,0.005,0.604,0.131,0.216,0.203,0.231,0.408,0.026,0.109,0.086,0.148,574,0.176,0.325
