Distance Metric,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM)
$L_2$,$One$,0.01,0.691,0.091,0.11,0.552,0.061,0.434,0.014,0.073,0.134,0.05,486,0.169,0.183
$L_2$,$One$,0.005,0.688,0.091,0.125,0.455,0.072,0.432,0.015,0.08,0.119,0.06,557,0.169,0.20500000000000002
$L_2$,$One$,0.001,0.662,0.135,0.18,0.328,0.124,0.421,0.026,0.105,0.102,0.108,696,0.156,0.285
$L_1$,$HDBSCAN$,0.001,0.59,0.153,0.234,0.316,0.185,0.382,0.029,0.123,0.103,0.152,552,0.157,0.357
$L_2$,$KMeans^{10}$,0.001,0.539,0.186,0.249,0.307,0.209,0.339,0.03,0.131,0.104,0.179,460,0.151,0.38
$L_1$,$One$,0.05,0.706,0.091,0.072,0.612,0.038,0.435,0.016,0.061,0.18,0.037,318,0.144,0.133
$L_1$,$One$,0.01,0.69,0.091,0.133,0.553,0.075,0.431,0.015,0.084,0.146,0.059,462,0.165,0.21700000000000003
$L_1$,$One$,0.005,0.684,0.091,0.147,0.457,0.088,0.428,0.016,0.095,0.134,0.073,523,0.166,0.242
$L_1$,$One$,0.001,0.651,0.144,0.202,0.331,0.145,0.416,0.027,0.118,0.109,0.127,635,0.149,0.32
$Cosine$,$One$,0.01,0.691,0.091,0.11,0.552,0.061,0.434,0.014,0.073,0.134,0.05,486,0.169,0.183
$Cosine$,$One$,0.005,0.69,0.091,0.125,0.455,0.072,0.432,0.015,0.08,0.119,0.06,557,0.169,0.20500000000000002
$Cosine$,$One$,0.001,0.662,0.135,0.18,0.328,0.124,0.421,0.026,0.105,0.102,0.108,696,0.156,0.285
$L_2$,$HDBSCAN$,0.001,0.61,0.151,0.221,0.325,0.167,0.392,0.027,0.116,0.102,0.136,604,0.159,0.337
$L_1$,$KMeans^{10}$,0.001,0.524,0.191,0.258,0.308,0.223,0.336,0.03,0.135,0.105,0.188,429,0.149,0.393
$Cosine$,$HDBSCAN$,0.001,0.608,0.152,0.225,0.326,0.172,0.391,0.027,0.116,0.101,0.137,602,0.16,0.341
