Method,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM),Type,Fusion Strategy
$L_2$,$One$,0.01,0.691,0.091,0.11,0.552,0.061,0.434,0.014,0.073,0.134,0.05,486,0.169,0.183,Non-dominated FMap,-
$L_2$,$One$,0.005,0.688,0.091,0.125,0.455,0.072,0.432,0.015,0.08,0.119,0.06,557,0.169,0.20500000000000002,Non-dominated FMap,-
$L_2$,$One$,0.001,0.662,0.135,0.18,0.328,0.124,0.421,0.026,0.105,0.102,0.108,696,0.156,0.285,Non-dominated FMap,-
$L_1$,$HDBSCAN$,0.001,0.59,0.153,0.234,0.316,0.185,0.382,0.029,0.123,0.103,0.152,552,0.157,0.357,Non-dominated FMap,-
$L_2$,$KMeans^{10}$,0.001,0.539,0.186,0.249,0.307,0.209,0.339,0.03,0.131,0.104,0.179,460,0.151,0.38,Non-dominated FMap,-
$L_1$,$One$,0.05,0.706,0.091,0.072,0.612,0.038,0.435,0.016,0.061,0.18,0.037,318,0.144,0.133,Non-dominated FMap,-
$L_1$,$One$,0.01,0.69,0.091,0.133,0.553,0.075,0.431,0.015,0.084,0.146,0.059,462,0.165,0.21700000000000003,Non-dominated FMap,-
$L_1$,$One$,0.005,0.684,0.091,0.147,0.457,0.088,0.428,0.016,0.095,0.134,0.073,523,0.166,0.242,Non-dominated FMap,-
$L_1$,$One$,0.001,0.651,0.144,0.202,0.331,0.145,0.416,0.027,0.118,0.109,0.127,635,0.149,0.32,Non-dominated FMap,-
$Cosine$,$One$,0.01,0.691,0.091,0.11,0.552,0.061,0.434,0.014,0.073,0.134,0.05,486,0.169,0.183,Non-dominated FMap,-
$Cosine$,$One$,0.005,0.69,0.091,0.125,0.455,0.072,0.432,0.015,0.08,0.119,0.06,557,0.169,0.20500000000000002,Non-dominated FMap,-
$Cosine$,$One$,0.001,0.662,0.135,0.18,0.328,0.124,0.421,0.026,0.105,0.102,0.108,696,0.156,0.285,Non-dominated FMap,-
$L_2$,$HDBSCAN$,0.001,0.61,0.151,0.221,0.325,0.167,0.392,0.027,0.116,0.102,0.136,604,0.159,0.337,Non-dominated FMap,-
$L_1$,$KMeans^{10}$,0.001,0.524,0.191,0.258,0.308,0.223,0.336,0.03,0.135,0.105,0.188,429,0.149,0.393,Non-dominated FMap,-
$Cosine$,$HDBSCAN$,0.001,0.608,0.152,0.225,0.326,0.172,0.391,0.027,0.116,0.101,0.137,602,0.16,0.341,Non-dominated FMap,-
$Cosine^{SDR}$,$One$,0.01,0.517,0.236,0.365,0.524,0.279,0.334,0.042,0.161,0.187,0.141,203,0.107,0.526,Non-dominated FMap,-
$L^{SDR}_1$,$One$,0.01,0.655,0.091,0.16,0.55,0.094,0.412,0.026,0.093,0.156,0.066,440,0.162,0.253,Non-dominated FMap,-
$L^{SDR}_1$,$One$,0.005,0.643,0.139,0.178,0.495,0.109,0.41,0.026,0.105,0.149,0.082,500,0.16,0.283,Non-dominated FMap,-
$Cosine^{SDR}$,$KMeans^{10}$,0.15,0.551,0.171,0.293,0.76,0.182,0.368,0.045,0.11,0.234,0.072,114,0.079,0.40299999999999997,Non-dominated FMap,-
$Cosine^{SDR}$,$KMeans^{10}$,0.05,0.545,0.238,0.343,0.649,0.233,0.366,0.051,0.143,0.225,0.105,134,0.087,0.486,Non-dominated FMap,-
$Cosine^{SDR}$,$KMeans^{10}$,0.005,0.488,0.285,0.379,0.473,0.316,0.332,0.05,0.176,0.173,0.178,183,0.094,0.5549999999999999,Non-dominated FMap,-
$L^{SDR}_2$,$One$,0.01,0.675,0.091,0.132,0.594,0.074,0.43,0.015,0.083,0.155,0.057,464,0.165,0.21500000000000002,Non-dominated FMap,-
$L^{SDR}_2$,$One$,0.005,0.667,0.091,0.149,0.526,0.087,0.426,0.016,0.099,0.154,0.073,524,0.162,0.248,Non-dominated FMap,-
$L^{SDR}_2$,$One$,0.001,0.643,0.141,0.185,0.365,0.124,0.409,0.027,0.115,0.12,0.11,686,0.143,0.3,Non-dominated FMap,-
$L^{SDR}_1$,$HDBSCAN$,0.01,0.607,0.156,0.216,0.556,0.134,0.407,0.03,0.118,0.181,0.088,386,0.154,0.33399999999999996,Non-dominated FMap,-
$L^{SDR}_1$,$HDBSCAN$,0.005,0.588,0.155,0.241,0.511,0.158,0.4,0.046,0.132,0.17,0.107,428,0.149,0.373,Non-dominated FMap,-
$L^{EUL}_1$,$HDBSCAN$,0.001,0.59,0.173,0.255,0.212,0.318,0.382,0.031,0.113,0.078,0.206,552,0.157,0.368,Non-dominated FMap,-
$L^{EUL}_2$,$HDBSCAN$,0.01,0.663,0.14,0.244,0.236,0.252,0.425,0.023,0.106,0.086,0.139,450,0.172,0.35,Non-dominated FMap,-
$L^{EUL}_2$,$HDBSCAN$,0.001,0.61,0.175,0.255,0.217,0.31,0.392,0.023,0.112,0.078,0.197,604,0.159,0.367,Non-dominated FMap,-
$L^{EUL}_1$,$KMeans$,0.005,0.632,0.141,0.247,0.229,0.269,0.4,0.024,0.117,0.09,0.168,465,0.166,0.364,Non-dominated FMap,-
$L^{EUL}_1$,$KMeans$,0.001,0.579,0.175,0.255,0.211,0.32,0.363,0.031,0.117,0.08,0.213,544,0.156,0.372,Non-dominated FMap,-
$L^{EUL}_2$,$One$,0.01,0.691,0.134,0.226,0.224,0.229,0.434,0.021,0.098,0.081,0.125,486,0.169,0.324,Non-dominated FMap,-
$L^{EUL}_2$,$One$,0.005,0.688,0.135,0.228,0.221,0.237,0.432,0.022,0.1,0.08,0.134,557,0.169,0.328,Non-dominated FMap,-
$L^{EUL}_1$,$One$,0.05,0.706,0.132,0.211,0.214,0.208,0.435,0.024,0.096,0.083,0.114,318,0.144,0.307,Non-dominated FMap,-
$L^{EUL}_1$,$One$,0.01,0.69,0.136,0.231,0.226,0.237,0.431,0.023,0.103,0.084,0.133,462,0.165,0.334,Non-dominated FMap,-
$L^{EUL}_1$,$One$,0.005,0.684,0.136,0.235,0.224,0.247,0.428,0.023,0.107,0.084,0.145,523,0.166,0.34199999999999997,Non-dominated FMap,-
$L^{EUL}_1$,$One$,0.001,0.651,0.144,0.246,0.214,0.289,0.416,0.023,0.113,0.081,0.188,635,0.149,0.359,Non-dominated FMap,-
$L^{EUL}_1$,$KMeans^{10}$,0.001,0.524,0.18,0.257,0.207,0.339,0.336,0.031,0.118,0.079,0.234,429,0.149,0.375,Non-dominated FMap,-
MSP,-,0.005,0.706,0.285,0.383,0.449,0.334,0.431,0.052,0.17,0.155,0.188,119,0.083,0.553,Non-dominated logit (MSP),-
MSP-$L^{SDR}_1$,$One$,0.001,0.776,0.142,0.204,0.343,0.145,0.515,0.073,0.123,0.128,0.118,669,0.137,0.32699999999999996,Non-dominated fusion logit-FMap,and
MSP-ODIN,-,0.005,0.675,0.29,0.388,0.449,0.342,0.407,0.049,0.173,0.154,0.196,98,0.074,0.5609999999999999,Non-dominated fusion logit-logit,or
MSP-ODIN,-,0.005,0.729,0.271,0.364,0.437,0.311,0.443,0.066,0.168,0.156,0.182,138,0.089,0.532,Non-dominated fusion logit-logit,and
MSP-Energy,-,0.005,0.649,0.289,0.391,0.448,0.346,0.38,0.064,0.172,0.15,0.202,83,0.07,0.563,Non-dominated fusion logit-logit,or
MSP-$Cosine^{SDR}$,$HDBSCAN$,0.005,0.749,0.227,0.352,0.465,0.283,0.474,0.114,0.165,0.19,0.146,274,0.105,0.517,Non-dominated fusion logit-FMap,and
MSP-$Cosine^{SDR}$,$HDBSCAN$,0.001,0.75,0.269,0.333,0.322,0.344,0.477,0.124,0.157,0.126,0.208,317,0.094,0.49,Non-dominated fusion logit-FMap,and
