Distance Metric,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM)
$L^{SDR}_1$,$HDBSCAN$,0.3,0.594,0.091,0.11,0.81,0.059,0.39,0.045,0.069,0.254,0.04,196,0.119,0.179
$L^{SDR}_1$,$HDBSCAN$,0.01,0.556,0.217,0.317,0.463,0.241,0.369,0.057,0.158,0.169,0.149,515,0.159,0.475
$L^{SDR}_1$,$HDBSCAN$,0.005,0.531,0.217,0.328,0.391,0.282,0.359,0.056,0.163,0.146,0.183,595,0.158,0.491
$L^{SDR}_1$,$One$,0.01,0.619,0.154,0.267,0.47,0.186,0.389,0.048,0.144,0.162,0.129,569,0.167,0.41100000000000003
$L^{SDR}_1$,$One$,0.005,0.611,0.195,0.284,0.399,0.221,0.381,0.048,0.15,0.143,0.157,679,0.166,0.43399999999999994
$L^{SDR}_2$,$KMeans^{10}$,0.05,0.509,0.23,0.327,0.588,0.226,0.341,0.065,0.165,0.215,0.134,228,0.121,0.492
$Cosine^{SDR}$,$KMeans$,0.05,0.501,0.232,0.359,0.574,0.261,0.337,0.066,0.169,0.216,0.14,198,0.107,0.528
$Cosine^{SDR}$,$KMeans$,0.01,0.445,0.282,0.373,0.403,0.347,0.309,0.071,0.18,0.159,0.209,252,0.108,0.5529999999999999
$Cosine^{SDR}$,$KMeans^{10}$,0.05,0.498,0.237,0.366,0.57,0.27,0.332,0.065,0.172,0.213,0.144,183,0.104,0.538
$Cosine^{SDR}$,$KMeans^{10}$,0.01,0.443,0.287,0.377,0.401,0.355,0.302,0.07,0.179,0.156,0.212,244,0.107,0.556
